feature,coefficient,odds_ratio_per_woe_unit,expected_sign,sign_consistent,review_flag
__INTERCEPT__,-2.5862797440524914,0.0752996536301186,not_applicable,True,
EXT_SOURCE_2,-0.7515417606023441,0.4716388377254536,nonpositive,True,
EXT_SOURCE_3,-0.6446283241097995,0.5248575827676956,nonpositive,True,
EXT_SOURCE_1,-0.5428034664210921,0.5811168251107909,nonpositive,True,
BUREAU_DEBT_CREDIT_RATIO_MEAN,-0.35862452642012715,0.6986366217040798,nonpositive,True,
DAYS_EMPLOYED,-0.4987061437571875,0.6073159310977522,nonpositive,True,
BUREAU_DAYS_CREDIT_MOST_RECENT,-0.1450934660624208,0.8649414466613565,nonpositive,True,
PREV_GRANTED_REQUESTED_RATIO_MEAN,-0.43569359364323457,0.6468158840739697,nonpositive,True,
APP_GOODS_CREDIT_RATIO,-0.6196954635935253,0.5381082862082502,nonpositive,True,
OCCUPATION_TYPE,-0.3632932672982973,0.6953824706542886,nonpositive,True,
BUREAU_ACTIVE_COUNT,-0.05975018477248062,0.9419998300945777,nonpositive,True,
CC_UTILIZATION_MEAN,-0.5554352916750624,0.5738224266996361,nonpositive,True,
INST_LATE_RATE,-0.7049754338054909,0.49412071277258346,nonpositive,True,
NAME_INCOME_TYPE,-0.1874283365369002,0.8290885314068731,nonpositive,True,
PREV_REFUSED_RATE,-0.24459893118767426,0.7830185195812754,nonpositive,True,
PREV_ACCEPTED_RATE,-0.2745964476873689,0.7598787121700842,nonpositive,True,
REGION_RATING_CLIENT_W_CITY,-0.3205120425846652,0.7257773130212897,nonpositive,True,
NAME_EDUCATION_TYPE,-0.47525164070206205,0.6217285845609849,nonpositive,True,
