feature,bin,woe,coefficient,exact_points,display_points
__BASE_POINTS__,BASE,,-2.5862797440524914,561.7471354264276,562
EXT_SOURCE_2,N0,-1.1182160264628527,-0.7515417606023441,-24.248415483209797,-24
EXT_SOURCE_2,N1,-0.6543967182535403,-0.7515417606023441,-14.19053486941592,-14
EXT_SOURCE_2,N2,-0.49384185148192106,-0.7515417606023441,-10.70891680528871,-11
EXT_SOURCE_2,N3,-0.41206729003892345,-0.7515417606023441,-8.93564268391933,-9
EXT_SOURCE_2,N4,-0.28948438458535614,-0.7515417606023441,-6.277443237449611,-6
EXT_SOURCE_2,N5,-0.11830590037495625,-0.7515417606023441,-2.5654529701935593,-3
EXT_SOURCE_2,N6,-0.10143779318499292,-0.7515417606023441,-2.1996695599419827,-2
EXT_SOURCE_2,N7,-0.020742976803637375,-0.7515417606023441,-0.44980961459139973,0
EXT_SOURCE_2,N8,-0.014077384892086025,-0.7515417606023441,-0.3052668444219461,0
EXT_SOURCE_2,N9,0.16156938969648252,-0.7515417606023441,3.5036179038872812,4
EXT_SOURCE_2,N10,0.25893307085144396,-0.7515417606023441,5.614940705339456,6
EXT_SOURCE_2,N11,0.35898978946272886,-0.7515417606023441,7.784661785485007,8
EXT_SOURCE_2,N12,0.42927497476168464,-0.7515417606023441,9.308789802890136,9
EXT_SOURCE_2,N13,0.5220469511571968,-0.7515417606023441,11.320541893363007,11
EXT_SOURCE_2,N14,0.6248201504084249,-0.7515417606023441,13.54916961556215,14
EXT_SOURCE_2,N15,0.7839683298661209,-0.7515417606023441,17.000283789890116,17
EXT_SOURCE_2,N16,1.0270801120496305,-0.7515417606023441,22.27214125190189,22
EXT_SOURCE_2,N17,1.1892273370320023,-0.7515417606023441,25.788289462779513,26
EXT_SOURCE_2,MISSING,-0.17734685554966859,-0.7515417606023441,-3.845750853358937,-4
EXT_SOURCE_3,N0,-1.1316081264151336,-0.6446283241097995,-21.04795837128653,-21
EXT_SOURCE_3,N1,-0.7709369223595529,-0.6446283241097995,-14.33945892569424,-14
EXT_SOURCE_3,N2,-0.5034225767617755,-0.6446283241097995,-9.36368093468469,-9
EXT_SOURCE_3,N3,-0.29924177309095723,-0.6446283241097995,-5.565909466310991,-6
EXT_SOURCE_3,N4,-0.2926076217898359,-0.6446283241097995,-5.442513975278973,-5
EXT_SOURCE_3,N5,-0.07252979096409859,-0.6446283241097995,-1.3490571384695251,-1
EXT_SOURCE_3,N6,0.0287824632689563,-0.6446283241097995,0.5353550178428392,1
EXT_SOURCE_3,N7,0.20065915022951644,-0.6446283241097995,3.7322685674132403,4
EXT_SOURCE_3,N8,0.26538914815328296,-0.6446283241097995,4.936249229861301,5
EXT_SOURCE_3,N9,0.4605815471571165,-0.6446283241097995,8.566835996359176,9
EXT_SOURCE_3,N10,0.4898784130149004,-0.6446283241097995,9.1117589238193,9
EXT_SOURCE_3,N11,0.51863580314392,-0.6446283241097995,9.64664758021306,10
EXT_SOURCE_3,N12,0.6280755610758171,-0.6446283241097995,11.682231644469951,12
EXT_SOURCE_3,N13,0.7563078394945361,-0.6446283241097995,14.067357373959698,14
EXT_SOURCE_3,N14,0.8314975984858801,-0.6446283241097995,15.465890028731655,15
EXT_SOURCE_3,N15,0.9483404397703338,-0.6446283241097995,17.639171752263408,18
EXT_SOURCE_3,MISSING,-0.23112433549064568,-0.6446283241097995,-4.298922284527448,-4
EXT_SOURCE_1,N0,-0.6959038605230267,-0.5428034664210921,-10.899244442791215,-11
EXT_SOURCE_1,N1,-0.2061741536332456,-0.5428034664210921,-3.229099054782408,-3
EXT_SOURCE_1,N2,0.03323686961104878,-0.5428034664210921,0.520555764889327,1
EXT_SOURCE_1,N3,0.2776385173321779,-0.5428034664210921,4.348373732060082,4
EXT_SOURCE_1,N4,0.3862134179436233,-0.5428034664210921,6.04887354136779,6
EXT_SOURCE_1,N5,0.6159848580975913,-0.5428034664210921,9.64755323589925,10
EXT_SOURCE_1,N6,0.9552054639618374,-0.5428034664210921,14.960425477428963,15
EXT_SOURCE_1,MISSING,-0.07876183230002469,-0.5428034664210921,-1.233567611415331,-1
BUREAU_DEBT_CREDIT_RATIO_MEAN,N0,0.4628223795286353,-0.35862452642012715,4.78915478069203,5
BUREAU_DEBT_CREDIT_RATIO_MEAN,N1,0.32292194833861515,-0.35862452642012715,3.341504778250634,3
BUREAU_DEBT_CREDIT_RATIO_MEAN,N2,0.29322975189299166,-0.35862452642012715,3.0342583466895032,3
BUREAU_DEBT_CREDIT_RATIO_MEAN,N3,0.1663306476637544,-0.35862452642012715,1.7211423899720597,2
BUREAU_DEBT_CREDIT_RATIO_MEAN,N4,0.088768473726895,-0.35862452642012715,0.9185510016971663,1
BUREAU_DEBT_CREDIT_RATIO_MEAN,N5,0.019724814768250703,-0.35862452642012715,0.20410679155541558,0
BUREAU_DEBT_CREDIT_RATIO_MEAN,N6,-0.16716226769941564,-0.35862452642012715,-1.729747758350232,-2
BUREAU_DEBT_CREDIT_RATIO_MEAN,N7,-0.30095483851746035,-0.35862452642012715,-3.114195353142203,-3
BUREAU_DEBT_CREDIT_RATIO_MEAN,N8,-0.4888099553409685,-0.35862452642012715,-5.058066848139995,-5
BUREAU_DEBT_CREDIT_RATIO_MEAN,N9,-0.5524738755275379,-0.35862452642012715,-5.716843046537377,-6
BUREAU_DEBT_CREDIT_RATIO_MEAN,N10,-0.5664270190516811,-0.35862452642012715,-5.861226220234357,-6
BUREAU_DEBT_CREDIT_RATIO_MEAN,MISSING,-0.26748640200106755,-0.35862452642012715,-2.767873459831827,-3
DAYS_EMPLOYED,N0,0.7764429202156579,-0.4987061437571875,11.172716717263853,11
DAYS_EMPLOYED,N1,0.6349588609808485,-0.4987061437571875,9.136815207079376,9
DAYS_EMPLOYED,N2,0.4447049082891234,-0.4987061437571875,6.399133579209086,6
DAYS_EMPLOYED,N3,0.26121228568263694,-0.4987061437571875,3.7587449057948734,4
DAYS_EMPLOYED,N4,0.22273306839855833,-0.4987061437571875,3.205043683176161,3
DAYS_EMPLOYED,N5,0.13394281392733437,-0.4987061437571875,1.9273858739128364,2
DAYS_EMPLOYED,N6,0.09276765976160664,-0.4987061437571875,1.3348911504686887,1
DAYS_EMPLOYED,N7,0.0011558818026197906,-0.4987061437571875,0.01663269714111662,0
DAYS_EMPLOYED,N8,-0.07867989476952877,-0.4987061437571875,-1.132173599264596,-1
DAYS_EMPLOYED,N9,-0.11586426298902268,-0.4987061437571875,-1.6672424389823213,-2
DAYS_EMPLOYED,N10,-0.22727243763056196,-0.4987061437571875,-3.270363470611602,-3
DAYS_EMPLOYED,N11,-0.24269354199527154,-0.4987061437571875,-3.4922672655311384,-3
DAYS_EMPLOYED,N12,-0.33767879165902137,-0.4987061437571875,-4.859068686705662,-5
DAYS_EMPLOYED,N13,-0.39738847445965875,-0.4987061437571875,-5.7182681897726875,-6
DAYS_EMPLOYED,MISSING,0.4509862257790554,-0.4987061437571875,6.4895193359711065,6
BUREAU_DAYS_CREDIT_MOST_RECENT,N0,0.41280115107335474,-0.1450934660624208,1.7281971703442622,2
BUREAU_DAYS_CREDIT_MOST_RECENT,N1,0.31316568027042485,-0.1450934660624208,1.3110720284694914,1
BUREAU_DAYS_CREDIT_MOST_RECENT,N2,0.21617218872585298,-0.1450934660624208,0.9050075657292882,1
BUREAU_DAYS_CREDIT_MOST_RECENT,N3,0.18501884257169432,-0.1450934660624208,0.7745836932900249,1
BUREAU_DAYS_CREDIT_MOST_RECENT,N4,0.15871878135730172,-0.1450934660624208,0.6644781588155888,1
BUREAU_DAYS_CREDIT_MOST_RECENT,N5,0.10878788948274147,-0.1450934660624208,0.455441856891502,0
BUREAU_DAYS_CREDIT_MOST_RECENT,N6,-0.012069568192841327,-0.1450934660624208,-0.050529397856351715,0
BUREAU_DAYS_CREDIT_MOST_RECENT,N7,-0.08149552258085785,-0.1450934660624208,-0.3411820222733297,0
BUREAU_DAYS_CREDIT_MOST_RECENT,N8,-0.08238428610482408,-0.1450934660624208,-0.34490284185735914,0
BUREAU_DAYS_CREDIT_MOST_RECENT,N9,-0.0994207561106914,-0.1450934660624208,-0.4162262361362741,0
BUREAU_DAYS_CREDIT_MOST_RECENT,N10,-0.24774831161879637,-0.1450934660624208,-1.0372013982613357,-1
BUREAU_DAYS_CREDIT_MOST_RECENT,N11,-0.3167951706616818,-0.1450934660624208,-1.3262669352851637,-1
BUREAU_DAYS_CREDIT_MOST_RECENT,N12,-0.5522424121063269,-0.1450934660624208,-2.3119697497564635,-2
BUREAU_DAYS_CREDIT_MOST_RECENT,MISSING,-0.3360248816270216,-0.1450934660624208,-1.4067723602105242,-1
PREV_GRANTED_REQUESTED_RATIO_MEAN,N0,0.37434334709732975,-0.43569359364323457,4.706042316193683,5
PREV_GRANTED_REQUESTED_RATIO_MEAN,N1,0.23569435264297822,-0.43569359364323457,2.9630220647071943,3
PREV_GRANTED_REQUESTED_RATIO_MEAN,N2,0.1501762660782026,-0.43569359364323457,1.887934882593843,2
PREV_GRANTED_REQUESTED_RATIO_MEAN,N3,0.0938581044186587,-0.43569359364323457,1.1799333807770078,1
PREV_GRANTED_REQUESTED_RATIO_MEAN,N4,0.08815055408614601,-0.43569359364323457,1.1081811415696514,1
PREV_GRANTED_REQUESTED_RATIO_MEAN,N5,-0.01065249521609446,-0.43569359364323457,-0.13391741471755647,0
PREV_GRANTED_REQUESTED_RATIO_MEAN,N6,-0.052896499743366604,-0.43569359364323457,-0.6649862168008254,-1
PREV_GRANTED_REQUESTED_RATIO_MEAN,N7,-0.10156629370336075,-0.43569359364323457,-1.2768365720219346,-1
PREV_GRANTED_REQUESTED_RATIO_MEAN,N8,-0.22454660123829126,-0.43569359364323457,-2.8228785567547896,-3
PREV_GRANTED_REQUESTED_RATIO_MEAN,N9,-0.3015870920322063,-0.43569359364323457,-3.791389984960375,-4
PREV_GRANTED_REQUESTED_RATIO_MEAN,N10,-0.3075305051421826,-0.43569359364323457,-3.8661073635782905,-4
PREV_GRANTED_REQUESTED_RATIO_MEAN,N11,-0.5149338958089827,-0.43569359364323457,-6.473470738854831,-6
PREV_GRANTED_REQUESTED_RATIO_MEAN,N12,-0.5183015225787588,-0.43569359364323457,-6.515806723203426,-7
