feature,kind,bin,count,bad,good,bad_rate,bad_distribution,good_distribution,woe,iv_contribution,categories,lower_bound,upper_bound
NAME_CONTRACT_TYPE,categorical,C0,119864.0,8414.0,111450.0,0.07019622238537009,1.0,1.0,0.0,0.0,Revolving loans|Cash loans,,
NAME_CONTRACT_TYPE,categorical,MISSING,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,__MISSING__,,
NAME_CONTRACT_TYPE,categorical,OTHER,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
FLAG_OWN_CAR,categorical,C0,40982.0,2571.0,38411.0,0.06273485920648089,0.3055852644087938,0.3446492180420095,0.12029830291025695,0.004699327327040813,Y,,
FLAG_OWN_CAR,categorical,C1,78882.0,5843.0,73039.0,0.07407266550036763,0.6944147355912061,0.6553507819579905,-0.05789874647418973,0.002261753947689058,N,,
FLAG_OWN_CAR,categorical,MISSING,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,__MISSING__,,
FLAG_OWN_CAR,categorical,OTHER,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
FLAG_OWN_REALTY,categorical,C0,83791.0,5825.0,77966.0,0.06951820601257892,0.6922756981580511,0.6995585503943437,0.010465209793888371,7.621657655069059e-05,Y,,
FLAG_OWN_REALTY,categorical,C1,36073.0,2589.0,33484.0,0.07177113076262025,0.3077243018419489,0.3004414496056563,-0.023951366472733476,0.00017443426287821066,N,,
FLAG_OWN_REALTY,categorical,MISSING,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,__MISSING__,,
FLAG_OWN_REALTY,categorical,OTHER,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
CNT_CHILDREN,numeric,N0,84487.0,5680.0,78807.0,0.06722927787706985,0.6750445632798574,0.707104467434119,0.04639970818955666,0.001487570197342895,,-inf,0.0
CNT_CHILDREN,numeric,N1,35377.0,2734.0,32643.0,0.0772818497894112,0.3249554367201426,0.29289553256588097,-0.10387205384771742,0.0033301280906641233,,0.0,inf
CNT_CHILDREN,numeric,MISSING,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
AMT_INCOME_TOTAL,numeric,N0,81203.0,5993.0,75210.0,0.07380269201876778,0.7120708090768683,0.6748180847532144,-0.053734206937245683,0.002001745597783384,,-inf,180000.0
AMT_INCOME_TOTAL,numeric,N1,8917.0,639.0,8278.0,0.07166087249074801,0.07597718902221694,0.07427794675782617,-0.022619056611794,3.843525697540769e-05,,180000.0,211500.0
AMT_INCOME_TOTAL,numeric,N2,12399.0,803.0,11596.0,0.06476328736188403,0.09546156587857907,0.10404834324782644,0.08613191511050955,0.0007395955794408592,,211500.0,247500.0
AMT_INCOME_TOTAL,numeric,N3,5483.0,333.0,5150.0,0.06073317526901331,0.0396221931804681,0.046212304738320185,0.15385670382750724,0.0010139328421466809,,247500.0,279000.0
AMT_INCOME_TOTAL,numeric,N4,7441.0,408.0,7033.0,0.05483133987367289,0.04853273137697517,0.0631073187801136,0.2625983057571308,0.0038272619591733707,,279000.0,360000.0
AMT_INCOME_TOTAL,numeric,N5,4421.0,238.0,4183.0,0.05383397421397874,0.02833551146489248,0.037536001722699254,0.2811846782666951,0.0025870368930372605,,360000.0,inf
AMT_INCOME_TOTAL,numeric,MISSING,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
AMT_CREDIT,numeric,N0,78163.0,6033.0,72130.0,0.07718485728541637,0.7168230961150054,0.647183117547307,-0.10219980225206286,0.007117192038456676,,-inf,640080.0
AMT_CREDIT,numeric,N1,5743.0,370.0,5373.0,0.06442625805328225,0.04401805869074492,0.048213148143163485,0.09103179240450406,0.0003818865121508916,,640080.0,693000.0
AMT_CREDIT,numeric,N2,11993.0,754.0,11239.0,0.06287000750437756,0.08964001425686112,0.10084519932168717,0.11778485312400916,0.0013198010770878778,,693000.0,877500.0
AMT_CREDIT,numeric,N3,12723.0,748.0,11975.0,0.05879116560559616,0.08892717120114055,0.10744887979686504,0.1891974640606556,0.0035042602963815212,,877500.0,1125000.0
AMT_CREDIT,numeric,N4,5266.0,297.0,4969.0,0.0563995442461071,0.03534513484614471,0.04458830179537563,0.23231077828181326,0.0021472873077645685,,1125000.0,1345500.0
AMT_CREDIT,numeric,N5,5976.0,212.0,5764.0,0.03547523427041499,0.025246524890103362,0.05172135339560174,0.7171822031679744,0.018987275836067616,,1345500.0,inf
AMT_CREDIT,numeric,MISSING,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
AMT_ANNUITY,numeric,N0,95889.0,7025.0,88864.0,0.07326179228065785,0.8346798146608055,0.7973271244381039,-0.045783156520819206,0.0017101240629396207,,-inf,36445.5
AMT_ANNUITY,numeric,N1,5994.0,402.0,5592.0,0.06706706706706707,0.047819888321254604,0.050178101980206904,0.04813708936510423,0.00011351754164299631,,36445.5,40032.0
AMT_ANNUITY,numeric,N2,5989.0,370.0,5619.0,0.06177992987143096,0.04401805869074492,0.050420356562856095,0.13579501908161798,0.0008694001617095393,,40032.0,45059.85000000001
AMT_ANNUITY,numeric,N3,5995.0,312.0,5683.0,0.05204336947456213,0.03712724248544612,0.050994589647654166,0.3173685428097465,0.004401059761506842,,45059.85000000001,52659.0
AMT_ANNUITY,numeric,N4,5991.0,305.0,5686.0,0.050909697880153565,0.03629559225377213,0.05102150682350408,0.34055093787228685,0.005014924017749388,,52659.0,inf
AMT_ANNUITY,numeric,MISSING,6.0,0.0,6.0,0.0,5.940358797671379e-05,5.832054767480463e-05,-0.018400149679025656,1.992810366354578e-08,,,
AMT_GOODS_PRICE,numeric,N0,65381.0,5333.0,60048.0,0.08156803964454505,0.633658072947606,0.5387786780077701,-0.1622046211939685,0.015389876315329011,,-inf,450000.0
AMT_GOODS_PRICE,numeric,N1,25391.0,1668.0,23723.0,0.06569256823283841,0.19822977307829392,0.21285654042511193,0.07119159170060176,0.0010413028488543614,,450000.0,675000.0
AMT_GOODS_PRICE,numeric,N2,13918.0,763.0,13155.0,0.054821094984911625,0.09070927884044196,0.11803630229782958,0.2633325693146838,0.007196095298756516,,675000.0,900000.0
AMT_GOODS_PRICE,numeric,N3,9076.0,430.0,8646.0,0.04737769942706038,0.05114648924795057,0.07757978699541511,0.41661306275762905,0.011012457133355538,,900000.0,1257351.974999969
AMT_GOODS_PRICE,numeric,N4,5988.0,212.0,5776.0,0.035404141616566465,0.025246524890103362,0.05182902209900137,0.7192617464180393,0.019119773366624637,,1257351.974999969,inf
AMT_GOODS_PRICE,numeric,MISSING,110.0,8.0,102.0,0.07272727272727272,0.0010098609956041345,0.0009196701748719191,-0.09355287205837043,8.437610312800376e-06,,,
NAME_TYPE_SUITE,categorical,C0,15586.0,1017.0,14569.0,0.0652508661619402,0.12090066539923955,0.1307244374259771,0.07812231525129966,0.000767455815229691,Family,,
NAME_TYPE_SUITE,categorical,C1,97081.0,6876.0,90205.0,0.070827453363686,0.8170746197718631,0.8093663639952625,-0.00947874969567362,7.306462709662749e-05,Unaccompanied,,
NAME_TYPE_SUITE,categorical,C2,6669.0,497.0,6172.0,0.07452391662917979,0.05911359315589353,0.05538258622546029,-0.06519568432175812,0.0002432455500388177,"Spouse, partner|__RARE__|Children|Group of people|Other_B|Other_A",,
NAME_TYPE_SUITE,categorical,MISSING,528.0,24.0,504.0,0.045454545454545456,0.0029111216730038024,0.004526612353300075,0.44143537330053695,0.0007131347315201235,__MISSING__,,
NAME_TYPE_SUITE,categorical,OTHER,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
NAME_INCOME_TYPE,categorical,C0,21955.0,1005.0,20950.0,0.04577544978364837,0.11947480988593157,0.18797778415820263,0.45321823325878363,0.0310467969726506,Pensioner,,
NAME_INCOME_TYPE,categorical,C1,37277.0,2321.0,34956.0,0.06226359417335086,0.27584363117870725,0.3136462333560636,0.12843155393879147,0.004855046940567821,State servant|Commercial associate,,
NAME_INCOME_TYPE,categorical,C2,60609.0,5085.0,55524.0,0.08389843092610008,0.6042656844106464,0.49819204680041634,-0.19302833723873689,0.02047521789276706,Working,,
NAME_INCOME_TYPE,categorical,C3,23.0,3.0,20.0,0.13043478260869565,0.0004158745247148289,0.00018393568531744608,-0.8157974312934506,0.00018921510939756906,__RARE__|Maternity leave|Student|Unemployed|Businessman,,
NAME_INCOME_TYPE,categorical,MISSING,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,__MISSING__,,
NAME_INCOME_TYPE,categorical,OTHER,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
NAME_EDUCATION_TYPE,categorical,C0,30291.0,1420.0,28871.0,0.04687861080849097,0.16879567464797102,0.2590499006294218,0.428331751954432,0.03865875073592603,Higher education,,
NAME_EDUCATION_TYPE,categorical,C1,88076.0,6851.0,81225.0,0.07778509469094873,0.8141524567761868,0.7287968309085118,-0.11075264423509833,0.009453361265186764,Incomplete higher|Secondary / secondary special,,
NAME_EDUCATION_TYPE,categorical,C2,1497.0,143.0,1354.0,0.09552438209752839,0.017051868575842195,0.01215326846206646,-0.33866164878195093,0.0016589679912547427,__RARE__|Lower secondary|Academic degree,,
NAME_EDUCATION_TYPE,categorical,MISSING,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,__MISSING__,,
