feature,coefficient,odds_ratio_per_woe_unit,expected_sign,sign_consistent,review_flag
__INTERCEPT__,-2.5837902368036527,0.07548734619773197,not_applicable,True,
EXT_SOURCE_2,-0.7307955015264638,0.481525783194013,nonpositive,True,
EXT_SOURCE_3,-0.8321652423231848,0.4351061553737912,nonpositive,True,
EXT_SOURCE_1,-0.5282411907317844,0.5896411244865789,nonpositive,True,
DAYS_EMPLOYED,-0.4528342504093429,0.6358235123798376,nonpositive,True,
APP_GOODS_CREDIT_RATIO,-0.6674835953787649,0.5129978651203674,nonpositive,True,
OCCUPATION_TYPE,-0.37011787491652176,0.6906529151843062,nonpositive,True,
NAME_INCOME_TYPE,-0.09068577659925837,0.9133046475080595,nonpositive,True,
REGION_RATING_CLIENT_W_CITY,-0.26576665959752727,0.7666179895825646,nonpositive,True,
NAME_EDUCATION_TYPE,-0.4779557789649198,0.6200496156115528,nonpositive,True,
DAYS_LAST_PHONE_CHANGE,-0.19213318370832214,0.8251969583817134,nonpositive,True,
FLOORSMAX_MEDI,-0.292009815290443,0.7467612062592546,nonpositive,True,
DAYS_ID_PUBLISH,-0.20933086496796893,0.8111268177922407,nonpositive,True,
REG_CITY_NOT_WORK_CITY,-0.07609988461313077,0.9267236365043857,nonpositive,True,
APP_CREDIT_ANNUITY_RATIO,-0.47135298879736165,0.6241572190153953,nonpositive,True,
AMT_REQ_CREDIT_BUREAU_YEAR,-0.09747696827301629,0.9071232339298715,nonpositive,True,
FLAG_DOCUMENT_3,-0.5391174311120825,0.5832627948772263,nonpositive,True,
OWN_CAR_AGE,-0.6107794169875238,0.5429275371744253,nonpositive,True,
