population,feature,bin,expected_share,actual_share,csi_contribution
validation,EXT_SOURCE_2,MISSING,0.0022384095910160102,0.001999934961464668,2.686439331242472e-05
validation,EXT_SOURCE_2,N0,0.061109123822531516,0.06032324152060096,1.0172240548745482e-05
validation,EXT_SOURCE_2,N1,0.05770002059553619,0.058095671685473645,2.703734328388444e-06
validation,EXT_SOURCE_2,N10,0.04789004151626505,0.04742935189099542,4.453166890805746e-06
validation,EXT_SOURCE_2,N11,0.09316770186335403,0.09355793307534714,1.6310628217780595e-06
validation,EXT_SOURCE_2,N12,0.045386057905975954,0.045933465578355176,6.562862739562972e-06
validation,EXT_SOURCE_2,N13,0.045592013267861206,0.045559494000195114,2.3203188759011424e-08
validation,EXT_SOURCE_2,N14,0.04427498292738447,0.04516926278820201,1.7882941777976916e-05
validation,EXT_SOURCE_2,N15,0.04368421623145047,0.04256772137491464,2.8906722137600593e-05
validation,EXT_SOURCE_2,N16,0.04292543331924165,0.04409612695522097,3.150038389376862e-05
validation,EXT_SOURCE_2,N17,0.042150390773199785,0.03996617996162726,0.00011622264338310927
validation,EXT_SOURCE_2,N2,0.05634505110944901,0.05856720106663198,8.595369063053964e-05
validation,EXT_SOURCE_2,N3,0.05647512818011338,0.05528275503235667,2.544442743162288e-05
validation,EXT_SOURCE_2,N4,0.05499550150130619,0.052323501674742284,0.0001330809768945828
validation,EXT_SOURCE_2,N5,0.05388984640065906,0.055299014666189715,3.6374872691187104e-05
validation,EXT_SOURCE_2,N6,0.05235602094240838,0.05276251178823453,3.1437963804984093e-06
validation,EXT_SOURCE_2,N7,0.05126662547559429,0.05030730707944457,1.812116803211129e-05
validation,EXT_SOURCE_2,N8,0.050724637681159424,0.05069753829143768,1.4481585190318083e-08
validation,EXT_SOURCE_2,N9,0.09782879689549391,0.10006178660856557,5.0396078637533866e-05
validation,EXT_SOURCE_3,MISSING,0.19815073764538824,0.19688790608435497,8.073888512716417e-06
validation,EXT_SOURCE_3,N0,0.04979241867473144,0.04965692172612273,3.69221844381594e-07
validation,EXT_SOURCE_3,N1,0.04732095433210844,0.047494390426327596,6.344988230267115e-07
validation,EXT_SOURCE_3,N10,0.03611806662113969,0.03725082111150857,3.498035045179927e-05
validation,EXT_SOURCE_3,N11,0.03969518606440983,0.03954342948196807,5.812844738195742e-07
validation,EXT_SOURCE_3,N12,0.03633486173891364,0.03629150271535885,5.177197457460232e-08
validation,EXT_SOURCE_3,N13,0.03561943785025961,0.03656791649052064,2.4925792425702797e-05
validation,EXT_SOURCE_3,N14,0.10425135225954711,0.10580143735163085,2.287812901117439e-05
validation,EXT_SOURCE_3,N15,0.03384713776245759,0.033657442034405384,1.0661369664150602e-06
validation,EXT_SOURCE_3,N2,0.04647003349484569,0.047266755552664956,1.3543910139249265e-05
validation,EXT_SOURCE_3,N3,0.04548361570897423,0.04458391597021235,1.7975102237524873e-05
validation,EXT_SOURCE_3,N4,0.043743834888838304,0.044518877434880165,1.3611781744088553e-05
validation,EXT_SOURCE_3,N5,0.043868492081558325,0.043819713180059186,5.426913391127322e-08
validation,EXT_SOURCE_3,N6,0.04155420419932143,0.04009625703229163,5.20716199136463e-05
validation,EXT_SOURCE_3,N7,0.03919655729352975,0.03746219635133817,7.849126482715272e-05
validation,EXT_SOURCE_3,N8,0.07989984065558843,0.07855029104744561,2.298929218102761e-05
validation,EXT_SOURCE_3,N9,0.07865326872838824,0.08055022600891028,4.520776683074697e-05
validation,EXT_SOURCE_1,MISSING,0.5639003609638711,0.5642743325420312,2.4793101139229594e-07
validation,EXT_SOURCE_1,N0,0.07619264414165393,0.07531462391466945,1.0176781080373303e-05
validation,EXT_SOURCE_1,N1,0.07202475800244978,0.06973756950993464,7.380924492336537e-05
validation,EXT_SOURCE_1,N2,0.04525598083531159,0.045201782055868105,6.494761645197247e-08
validation,EXT_SOURCE_1,N3,0.06546670568978787,0.06542876654417742,2.1992797541301307e-08
validation,EXT_SOURCE_1,N4,0.04174389992737364,0.04268153881174596,2.0827912545843885e-05
validation,EXT_SOURCE_1,N5,0.04015045581173512,0.04118565249910572,2.6352134931438396e-05
validation,EXT_SOURCE_1,N6,0.09526519462781698,0.09617573412246756,8.661558723149327e-06
validation,BUREAU_DEBT_CREDIT_RATIO_MEAN,MISSING,0.17097004975447952,0.16984813501999935,7.3863266348795876e-06
