feature,bin,applicants,bad_rate
EXT_SOURCE_2,"(0.216, 0.34]",30685,0.12077562326869806
EXT_SOURCE_2,"(0.608, 0.646]",30683,0.058468858977283836
EXT_SOURCE_2,"(0.512, 0.566]",30684,0.07424064659105722
EXT_SOURCE_2,"(0.646, 0.682]",30694,0.0488369062357464
EXT_SOURCE_2,"(0.34, 0.44]",30687,0.09958614396975918
EXT_SOURCE_2,"(0.722, 0.855]",30685,0.029721362229102165
EXT_SOURCE_2,"(0.682, 0.722]",30676,0.04201982005476594
EXT_SOURCE_2,"(-0.0009999183, 0.216]",30686,0.18350387798996284
EXT_SOURCE_2,"(0.566, 0.608]",30687,0.06654283572848438
EXT_SOURCE_2,"(0.44, 0.512]",30684,0.08362664580889062
EXT_SOURCE_2,MISSING,660,0.07878787878787878
EXT_SOURCE_3,"(-0.000473, 0.228]",24701,0.20003238735273876
EXT_SOURCE_3,"(0.694, 0.749]",23675,0.03531151003167898
EXT_SOURCE_3,"(0.592, 0.643]",24725,0.04744186046511628
EXT_SOURCE_3,"(0.476, 0.535]",24186,0.061771272637062766
EXT_SOURCE_3,"(0.535, 0.592]",25392,0.05344202898550725
EXT_SOURCE_3,"(0.749, 0.896]",24632,0.03227508931471257
EXT_SOURCE_3,"(0.33, 0.408]",25057,0.09510316478429182
EXT_SOURCE_3,"(0.643, 0.694]",24745,0.04214992927864215
EXT_SOURCE_3,"(0.408, 0.476]",24689,0.07979262019522865
EXT_SOURCE_3,"(0.228, 0.33]",24744,0.12754607177497576
EXT_SOURCE_3,MISSING,60965,0.09311900270647093
APP_CREDIT_INCOME_RATIO,"(1.818, 2.266]",30730,0.08112593556784901
APP_CREDIT_INCOME_RATIO,"(4.725, 5.769]",30751,0.07950960944359534
APP_CREDIT_INCOME_RATIO,"(2.266, 2.764]",30772,0.09021188093071623
APP_CREDIT_INCOME_RATIO,"(3.906, 4.725]",30754,0.08616765298822918
APP_CREDIT_INCOME_RATIO,"(7.488, 84.737]",30684,0.07065571633424586
APP_CREDIT_INCOME_RATIO,"(2.764, 3.265]",30725,0.08654190398698129
APP_CREDIT_INCOME_RATIO,"(5.769, 7.488]",30815,0.07441181242901185
APP_CREDIT_INCOME_RATIO,"(3.265, 3.906]",30741,0.09196187502033115
APP_CREDIT_INCOME_RATIO,"(0.00381, 1.332]",30759,0.0690854709190806
APP_CREDIT_INCOME_RATIO,"(1.332, 1.818]",30780,0.0776153346328785
BUREAU_BALANCE_DELINQUENCY_RATE_MAX,"(0.158, 1.0]",9196,0.128099173553719
BUREAU_BALANCE_DELINQUENCY_RATE_MAX,"(-0.001, 0.0263]",64583,0.0715203691373891
BUREAU_BALANCE_DELINQUENCY_RATE_MAX,"(0.0263, 0.0714]",9628,0.08111757374324886
BUREAU_BALANCE_DELINQUENCY_RATE_MAX,"(0.0714, 0.158]",8824,0.1056210335448776
BUREAU_BALANCE_DELINQUENCY_RATE_MAX,MISSING,215280,0.08043013749535488
PREV_REFUSED_RATE,"(-0.001, 0.143]",206900,0.0708554857419043
PREV_REFUSED_RATE,"(0.143, 0.25]",31260,0.08570057581573896
PREV_REFUSED_RATE,"(0.4, 1.0]",26577,0.13955675960416902
PREV_REFUSED_RATE,"(0.25, 0.4]",26320,0.10626899696048632
PREV_REFUSED_RATE,MISSING,16454,0.05955998541388112
INST_LATE_RATE,"(-0.001, 0.0159]",144746,0.06696558108686941
INST_LATE_RATE,"(0.238, 1.0]",28867,0.12630339141580352
INST_LATE_RATE,"(0.0159, 0.0476]",29688,0.07268930207491242
INST_LATE_RATE,"(0.143, 0.238]",28097,0.10118517991244617
INST_LATE_RATE,"(0.0857, 0.143]",29854,0.09814430227105246
INST_LATE_RATE,"(0.0476, 0.0857]",28146,0.08630000710580545
INST_LATE_RATE,MISSING,18113,0.06216529564401259
