feature,kind,iv,status
EXT_SOURCE_2,numeric,0.30996630559815036,selected
EXT_SOURCE_3,numeric,0.2928144650171846,selected
EXT_SOURCE_1,numeric,0.13828449446137275,selected
BUREAU_DEBT_CREDIT_RATIO_MEAN,numeric,0.13504814871740822,selected
DAYS_EMPLOYED,numeric,0.1253996632052327,selected
BUREAU_TOTAL_DEBT_CREDIT_RATIO,numeric,0.10910039770530991,iv_eligible
APP_EMPLOYED_AGE_RATIO,numeric,0.1033143902056349,iv_eligible
BUREAU_ACTIVE_SHARE,numeric,0.09599104522885307,iv_eligible
BUREAU_DAYS_CREDIT_MOST_RECENT,numeric,0.09126769980090814,selected
DAYS_BIRTH,numeric,0.08755914075941759,coefficient_sign_removed
BUREAU_DAYS_CREDIT_OLDEST,numeric,0.08588090412585908,coefficient_sign_removed
PREV_GRANTED_REQUESTED_RATIO_MEAN,numeric,0.07010578893709561,selected
APP_GOODS_CREDIT_RATIO,numeric,0.06592038314510874,selected
OCCUPATION_TYPE,categorical,0.06460151227367508,selected
BUREAU_ACTIVE_COUNT,numeric,0.06457541917639263,selected
CC_UTILIZATION_MEAN,numeric,0.06227251853707032,selected
INST_LATE_RATE,numeric,0.06069222678100012,selected
BUREAU_DEBT_TOTAL,numeric,0.058249843513721464,iv_eligible
NAME_INCOME_TYPE,categorical,0.056566276915383046,selected
PREV_REFUSED_RATE,numeric,0.05422164511719914,selected
AMT_GOODS_PRICE,numeric,0.05376794257323286,post_parcel_sign_removed
CC_UTILIZATION_MAX,numeric,0.05292937728295223,iv_eligible
INST_PAYMENT_RATIO,numeric,0.05277036879131578,iv_eligible
PREV_ACCEPTED_RATE,numeric,0.05266032742833048,selected
BUREAU_CLOSED_COUNT,numeric,0.05219882646651094,iv_eligible
INST_DPD_MEAN,numeric,0.05137527709361528,iv_eligible
REGION_RATING_CLIENT_W_CITY,numeric,0.050722580731924635,selected
NAME_EDUCATION_TYPE,categorical,0.04977107999236753,selected
REGION_RATING_CLIENT,numeric,0.04830060515638522,iv_eligible
ORGANIZATION_TYPE,categorical,0.04685270255370094,iv_eligible
DAYS_LAST_PHONE_CHANGE,numeric,0.045208323752891764,iv_eligible
INST_UNDERPAID_RATE,numeric,0.04406975991278045,iv_eligible
PREV_REFUSED_COUNT,numeric,0.04266942418755954,iv_eligible
BUREAU_CREDIT_SUM_MEAN,numeric,0.04061753866243043,iv_eligible
INST_DPD_MAX,numeric,0.03977870960113429,iv_eligible
INST_DPD_SUM,numeric,0.03850200191407399,iv_eligible
FLOORSMAX_MEDI,numeric,0.037879527735806634,iv_eligible
DAYS_ID_PUBLISH,numeric,0.03760953336965578,iv_eligible
FLOORSMAX_AVG,numeric,0.03750035975529496,iv_eligible
FLOORSMAX_MODE,numeric,0.03731213011291644,iv_eligible
CC_UTILIZATION_SUM,numeric,0.03719182965530295,iv_eligible
PREV_DAYS_DECISION_OLDEST,numeric,0.036745737373109044,iv_eligible
INST_LATE_COUNT,numeric,0.03650003924411768,iv_eligible
CC_DRAWINGS_SUM,numeric,0.03646327258193695,iv_eligible
BUREAU_CREDIT_SUM_TOTAL,numeric,0.03619137542124863,iv_eligible
REG_CITY_NOT_WORK_CITY,numeric,0.036175188199660216,iv_eligible
FLAG_EMP_PHONE,numeric,0.03608037402575387,iv_eligible
TOTALAREA_MODE,numeric,0.035853392554063376,iv_eligible
CC_BALANCE_SUM,numeric,0.03566890689125804,iv_eligible
BUREAU_OVERDUE_TOTAL,numeric,0.0347902961184134,iv_eligible
BUREAU_OVERDUE_ACCOUNT_COUNT,numeric,0.0347902961184134,iv_eligible
INST_PAYMENT_TOTAL,numeric,0.03442047478444606,iv_eligible
ELEVATORS_AVG,numeric,0.03390744635134324,iv_eligible
BUREAU_DAYS_OVERDUE_MAX,numeric,0.03387081596351052,iv_eligible
LIVINGAREA_AVG,numeric,0.03369337173434602,iv_eligible
LIVINGAREA_MEDI,numeric,0.03349869622981047,iv_eligible
AMT_CREDIT,numeric,0.033457703067909156,iv_eligible
ELEVATORS_MEDI,numeric,0.03339789677625424,iv_eligible
CC_PAYMENT_MIN_RATIO_SUM,numeric,0.03303542862945733,iv_eligible
APP_CREDIT_ANNUITY_RATIO,numeric,0.03268833255224469,iv_eligible
PREV_DOWN_PAYMENT_MEAN,numeric,0.03264983405400945,iv_eligible
APARTMENTS_AVG,numeric,0.032516297849182266,iv_eligible
CC_PAYMENT_SUM,numeric,0.03247634145991023,iv_eligible
CC_PAYMENT_MIN_RATIO_MEAN,numeric,0.0324733053178104,iv_eligible
ELEVATORS_MODE,numeric,0.0324218751219361,iv_eligible
LIVINGAREA_MODE,numeric,0.03226744661999805,iv_eligible
APARTMENTS_MEDI,numeric,0.0319265812502737,iv_eligible
AMT_REQ_CREDIT_BUREAU_YEAR,numeric,0.031557511188002034,iv_eligible
REGION_POPULATION_RELATIVE,numeric,0.03152491045355793,iv_eligible
FLAG_DOCUMENT_3,numeric,0.031168289198849453,iv_eligible
APARTMENTS_MODE,numeric,0.03099845023784938,iv_eligible
INST_UNDERPAID_COUNT,numeric,0.030700975924357693,iv_eligible
AMT_REQ_CREDIT_BUREAU_MON,numeric,0.030272025483109123,iv_eligible
INST_SHORTFALL_SUM,numeric,0.03011683156408852,iv_eligible
YEARS_BEGINEXPLUATATION_MODE,numeric,0.029801978097744944,iv_eligible
YEARS_BEGINEXPLUATATION_MEDI,numeric,0.02906077499317203,iv_eligible
YEARS_BEGINEXPLUATATION_AVG,numeric,0.02899431791777563,iv_eligible
INST_DUE_TOTAL,numeric,0.02875420075531242,iv_eligible
AMT_REQ_CREDIT_BUREAU_QRT,numeric,0.028347595100879537,iv_eligible
AMT_REQ_CREDIT_BUREAU_DAY,numeric,0.02806805375110604,iv_eligible
AMT_REQ_CREDIT_BUREAU_HOUR,numeric,0.02757654947820324,iv_eligible
AMT_REQ_CREDIT_BUREAU_WEEK,numeric,0.027552200755565234,iv_eligible
ENTRANCES_AVG,numeric,0.02728665147708816,iv_eligible
ENTRANCES_MEDI,numeric,0.027159228673904502,iv_eligible
BUREAU_RECORD_COUNT,numeric,0.02705625596096231,iv_eligible
BUREAU_PROLONG_TOTAL,numeric,0.026641891545029613,iv_eligible
OWN_CAR_AGE,numeric,0.026641170571884976,iv_eligible
PREV_AMT_ANNUITY_MEAN,numeric,0.026275437221738807,iv_eligible
ENTRANCES_MODE,numeric,0.02592274134688291,iv_eligible
POS_MONTH_COUNT,numeric,0.025710729368487655,iv_eligible
REG_CITY_NOT_LIVE_CITY,numeric,0.025491060657725575,iv_eligible
WALLSMATERIAL_MODE,categorical,0.024902763768410482,iv_eligible
EMERGENCYSTATE_MODE,categorical,0.02483069228954538,iv_eligible
NONLIVINGAREA_AVG,numeric,0.024101861545516308,iv_eligible
NONLIVINGAREA_MEDI,numeric,0.023680899844062905,iv_eligible
NONLIVINGAREA_MODE,numeric,0.023635055041771862,iv_eligible
BUREAU_MAX_OVERDUE,numeric,0.02320584337148586,iv_eligible
POS_DPD_DEF_MAX,numeric,0.022716481328154375,iv_eligible
POS_DELINQUENCY_RATE,numeric,0.022370820965330045,iv_eligible
HOUSETYPE_MODE,categorical,0.022346797284366025,iv_eligible
POS_REMAINING_SHARE,numeric,0.022168017651660925,iv_eligible
PREV_AMT_APPLICATION_MEAN,numeric,0.021028131530947517,iv_eligible
POS_DPD_MEAN,numeric,0.020952024238443487,iv_eligible
BASEMENTAREA_AVG,numeric,0.020370351308764512,iv_eligible
BASEMENTAREA_MEDI,numeric,0.019829907264885403,outside_iv_range
FLOORSMIN_MEDI,numeric,0.01960758708878656,outside_iv_range
BASEMENTAREA_MODE,numeric,0.01948256210712469,outside_iv_range
FLOORSMIN_AVG,numeric,0.019378694080463825,outside_iv_range
YEARS_BUILD_MODE,numeric,0.01935306558484778,outside_iv_range
FLOORSMIN_MODE,numeric,0.019315321339953756,outside_iv_range
NAME_FAMILY_STATUS,categorical,0.019191486369892402,outside_iv_range
DAYS_REGISTRATION,numeric,0.018732109188171676,outside_iv_range
YEARS_BUILD_MEDI,numeric,0.018670417907683336,outside_iv_range
YEARS_BUILD_AVG,numeric,0.01855030067483099,outside_iv_range
LANDAREA_AVG,numeric,0.01803175347667569,outside_iv_range
LANDAREA_MEDI,numeric,0.0180263454779669,outside_iv_range
COMMONAREA_AVG,numeric,0.018002709378970548,outside_iv_range
LANDAREA_MODE,numeric,0.01776694678526358,outside_iv_range
COMMONAREA_MEDI,numeric,0.017687747900034443,outside_iv_range
PREV_ACCEPTED_COUNT,numeric,0.01724613802993184,outside_iv_range
LIVINGAPARTMENTS_MODE,numeric,0.017046246918718255,outside_iv_range
LIVINGAPARTMENTS_MEDI,numeric,0.016893448069947078,outside_iv_range
CC_MONTH_COUNT,numeric,0.016854725204495147,outside_iv_range
LIVINGAPARTMENTS_AVG,numeric,0.016735306000124163,outside_iv_range
PREV_AMT_CREDIT_MEAN,numeric,0.016711266447002146,outside_iv_range
POS_DPD_MAX,numeric,0.016693250708903346,outside_iv_range
PREV_TERM_MEAN,numeric,0.01660152017441235,outside_iv_range
POS_DPD_SUM,numeric,0.01591913897973764,outside_iv_range
COMMONAREA_MODE,numeric,0.015611649752231874,outside_iv_range
LIVE_CITY_NOT_WORK_CITY,numeric,0.015496501104473901,outside_iv_range
POS_DELINQUENT_COUNT,numeric,0.015299019652775584,outside_iv_range
FLAG_DOCUMENT_6,numeric,0.01491117335401775,outside_iv_range
CC_LIMIT_SUM,numeric,0.014519261060722311,outside_iv_range
INST_LATEST_PAYMENT_DAY,numeric,0.014413673154409199,outside_iv_range
PREV_DAYS_DECISION_RECENT,numeric,0.01412709565188724,outside_iv_range
DEF_60_CNT_SOCIAL_CIRCLE,numeric,0.013912801252490399,outside_iv_range
BUREAU_BALANCE_DELINQUENCY_RATE_MAX,numeric,0.013816022450128623,outside_iv_range
DEF_30_CNT_SOCIAL_CIRCLE,numeric,0.013699934227865047,outside_iv_range
FONDKAPREMONT_MODE,categorical,0.01341697470258188,outside_iv_range
AMT_ANNUITY,numeric,0.01210904547365205,outside_iv_range
HOUR_APPR_PROCESS_START,numeric,0.011734594678838098,outside_iv_range
NONLIVINGAPARTMENTS_MODE,numeric,0.011725108007770026,outside_iv_range
NONLIVINGAPARTMENTS_MEDI,numeric,0.011719110037019797,outside_iv_range
NONLIVINGAPARTMENTS_AVG,numeric,0.011712704709417395,outside_iv_range
FLAG_WORK_PHONE,numeric,0.01070770706632125,outside_iv_range
FLAG_PHONE,numeric,0.010608071385600002,outside_iv_range
AMT_INCOME_TOTAL,numeric,0.010208008128556965,outside_iv_range
NAME_HOUSING_TYPE,categorical,0.010157079737651384,outside_iv_range
PREV_CANCELLED_COUNT,numeric,0.009959580906390585,outside_iv_range
INST_RECORD_COUNT,numeric,0.00961961074897422,outside_iv_range
PREV_APPLICATION_COUNT,numeric,0.00941212346992206,outside_iv_range
CC_DPD_MEAN,numeric,0.009200492859054629,outside_iv_range
POS_TERM_SUM,numeric,0.009112223831033262,outside_iv_range
CC_DPD_MAX,numeric,0.00880800079999668,outside_iv_range
CC_DPD_DEF_MAX,numeric,0.008699656952748469,outside_iv_range
PREV_CANCELLED_RATE,numeric,0.008573668767069144,outside_iv_range
POS_REMAINING_SUM,numeric,0.008279969533901298,outside_iv_range
