feature,coefficient,odds_ratio_per_woe_unit,expected_sign,sign_consistent,review_flag
__INTERCEPT__,-2.4354291863892414,0.08756015935393673,not_applicable,True,
EXT_SOURCE_2,-0.7439643221014636,0.47522622645677676,nonpositive,True,
EXT_SOURCE_3,-0.641175859722384,0.5266727665062649,nonpositive,True,
EXT_SOURCE_1,-0.5380419565906884,0.5838904165874785,nonpositive,True,
BUREAU_DEBT_CREDIT_RATIO_MEAN,-0.376396690558096,0.6863300183955121,nonpositive,True,
DAYS_EMPLOYED,-0.4732933863274029,0.622947280150086,nonpositive,True,
BUREAU_DAYS_CREDIT_MOST_RECENT,-0.13378328141225956,0.8747796250668828,nonpositive,True,
PREV_GRANTED_REQUESTED_RATIO_MEAN,-0.4309468735071688,0.6498934364166191,nonpositive,True,
APP_GOODS_CREDIT_RATIO,-0.6312837819906435,0.5319085079379127,nonpositive,True,
OCCUPATION_TYPE,-0.38366275630340585,0.6813611731979364,nonpositive,True,
BUREAU_ACTIVE_COUNT,-0.11921329565964132,0.887618455405441,nonpositive,True,
CC_UTILIZATION_MEAN,-0.5400774506998592,0.5827031198617965,nonpositive,True,
INST_LATE_RATE,-0.6799696173996774,0.5066323849410174,nonpositive,True,
NAME_INCOME_TYPE,-0.16728786215688446,0.8459560575485553,nonpositive,True,
PREV_REFUSED_RATE,-0.28909719523982697,0.7489394085195444,nonpositive,True,
PREV_ACCEPTED_RATE,-0.20051265102702143,0.818311137483935,nonpositive,True,
REGION_RATING_CLIENT_W_CITY,-0.32923059405542304,0.7194770904769279,nonpositive,True,
NAME_EDUCATION_TYPE,-0.4682729624571546,0.6260826032854203,nonpositive,True,
