sensitivity_multiplier,score_band,lower_score,upper_score,accepted_count,rejected_count,accepted_bad_rate,bad_odds_multiplier,inferred_rejected_bad_rate,diagnostic_hidden_rejected_count,diagnostic_hidden_rejected_bad_rate,diagnostic_inference_error,diagnostic_only_not_used_for_fitting
1.0,0,-inf,536.4052666625377,11987,11468,0.22732960707433053,1.0,0.22732960707433053,11468,0.25845831880013953,-0.031128711725809,True
1.0,1,536.4052666625377,548.8575394471814,11986,8581,0.1317370265309528,1.0,0.1317370265309528,8581,0.13762964689430138,-0.0058926203633485885,True
1.0,2,548.8575394471814,558.0758190797628,11986,7845,0.09511096278992158,1.0,0.09511096278992158,7845,0.09674952198852772,-0.0016385591986061432,True
1.0,3,558.0758190797628,565.9665907175477,11987,7024,0.06456995078001168,1.0,0.06456995078001168,7024,0.06904897494305239,-0.004479024163040704,True
1.0,4,565.9665907175477,573.1823289093343,11986,6452,0.05448022693141999,1.0,0.05448022693141999,6452,0.055486670799752016,-0.001006443868332027,True
1.0,5,573.1823289093343,580.3980091976047,11986,5933,0.044551977306858004,1.0,0.044551977306858004,5933,0.045339625821675375,-0.0007876485148173712,True
1.0,6,580.3980091976047,587.8646808790049,11987,5298,0.029365145574372236,1.0,0.029365145574372236,5298,0.03869384673461684,-0.0093287011602446,True
1.0,7,587.8646808790049,596.4121106354066,11986,4798,0.024862339395961955,1.0,0.024862339395961955,4798,0.02417674030846186,0.000685599087500096,True
1.0,8,596.4121106354066,607.7672812273437,11986,4163,0.018354747205072585,1.0,0.018354747205072585,4163,0.02426134998798943,-0.005906602782916846,True
1.0,9,607.7672812273437,inf,11987,3080,0.01159589555351631,1.0,0.01159589555351631,3080,0.01396103896103896,-0.002365143407522651,True
1.25,0,-inf,536.4052666625377,11987,11468,0.22732960707433053,1.25,0.2688808635762635,11468,0.25845831880013953,0.010422544776123976,True
1.25,1,536.4052666625377,548.8575394471814,11986,8581,0.1317370265309528,1.25,0.1594208751489207,8581,0.13762964689430138,0.02179122825461932,True
1.25,2,548.8575394471814,558.0758190797628,11986,7845,0.09511096278992158,1.25,0.11612745497514466,7845,0.09674952198852772,0.01937793298661694,True
1.25,3,558.0758190797628,565.9665907175477,11987,7024,0.06456995078001168,1.25,0.07943023685398794,7024,0.06904897494305239,0.010381261910935552,True
1.25,4,565.9665907175477,573.1823289093343,11986,6452,0.05448022693141999,1.25,0.06718521719447701,6452,0.055486670799752016,0.011698546394724993,True
1.25,5,573.1823289093343,580.3980091976047,11986,5933,0.044551977306858004,1.25,0.05507652955980033,5933,0.045339625821675375,0.009736903738124955,True
1.25,6,580.3980091976047,587.8646808790049,11987,5298,0.029365145574372236,1.25,0.03643892339544513,5298,0.03869384673461684,-0.0022549233391717036,True
1.25,7,587.8646808790049,596.4121106354066,11986,4798,0.024862339395961955,1.25,0.030885950002072882,4798,0.02417674030846186,0.0067092096936110235,True
