feature,coefficient,odds_ratio_per_woe_unit,expected_sign,sign_consistent,review_flag
__INTERCEPT__,-2.3548610562010963,0.09490669231493232,not_applicable,True,
EXT_SOURCE_2,-0.7487626260442941,0.47295140857899143,nonpositive,True,
EXT_SOURCE_3,-0.6527569362417511,0.5206085119732528,nonpositive,True,
EXT_SOURCE_1,-0.5323318356945281,0.5872340386142758,nonpositive,True,
BUREAU_DEBT_CREDIT_RATIO_MEAN,-0.3575627457467041,0.699378814520017,nonpositive,True,
DAYS_EMPLOYED,-0.4928919920978408,0.6108572429122975,nonpositive,True,
BUREAU_DAYS_CREDIT_MOST_RECENT,-0.12666766980898075,0.8810264156277876,nonpositive,True,
PREV_GRANTED_REQUESTED_RATIO_MEAN,-0.39178695033532346,0.6758480878317739,nonpositive,True,
APP_GOODS_CREDIT_RATIO,-0.6058499380739583,0.5456104943780684,nonpositive,True,
OCCUPATION_TYPE,-0.34457952804763786,0.7085182028767982,nonpositive,True,
BUREAU_ACTIVE_COUNT,-0.029114701553864544,0.9713050478786309,nonpositive,True,
CC_UTILIZATION_MEAN,-0.5318031373073291,0.5875445903902773,nonpositive,True,
INST_LATE_RATE,-0.6654382733906858,0.5140481846884354,nonpositive,True,
NAME_INCOME_TYPE,-0.1443599910085076,0.865576092355518,nonpositive,True,
PREV_REFUSED_RATE,-0.21553580261007302,0.8061094089206211,nonpositive,True,
PREV_ACCEPTED_RATE,-0.20386814331592187,0.8155699024407493,nonpositive,True,
REGION_RATING_CLIENT_W_CITY,-0.30829231811509183,0.7347005203447099,nonpositive,True,
NAME_EDUCATION_TYPE,-0.5055298384399989,0.6031858996701563,nonpositive,True,
