population,bin,lower_bound,upper_bound,expected_share,actual_share,psi_contribution
validation,0,-inf,529.1830168249614,0.10000216795117774,0.09661474423595981,0.00011673232798398035
validation,1,529.1830168249614,541.3296386801961,0.09999674807323339,0.10087476830021788,7.67579637697573e-06
validation,2,541.3296386801961,550.2000065661824,0.10000216795117774,0.09952521869207505,2.280198551797004e-06
validation,3,550.2000065661824,558.063923238839,0.09999674807323339,0.10076095086338656,5.818045617907941e-06
validation,4,558.063923238839,565.2903606947915,0.10000216795117774,0.09905368931091672,9.038855241975932e-06
validation,5,565.2903606947915,572.6276997420614,0.09999674807323339,0.1014438554843745,2.0791795171048928e-05
validation,6,572.6276997420614,580.2512302420863,0.10000216795117774,0.10063087379272219,3.940251571267658e-06
validation,7,580.2512302420863,589.0991255001658,0.09999674807323339,0.09973659393190465,6.777057335024402e-07
validation,8,589.0991255001658,600.8696388322041,0.10000216795117774,0.1018015674287015,3.208983506959401e-05
validation,9,600.8696388322041,inf,0.10000216795117774,0.09955773795974114,1.9795393562111805e-06
test,0,-inf,529.1830168249614,0.10000216795117774,0.10178365282994326,3.1456827061022334e-05
test,1,529.1830168249614,541.3296386801961,0.09999674807323339,0.10114953742093881,1.3213645252472783e-05
test,2,541.3296386801961,550.2000065661824,0.10000216795117774,0.09651561712436792,0.0001237273495753346
test,3,550.2000065661824,558.063923238839,0.09999674807323339,0.09809277596214819,3.660184916932115e-05
test,4,558.063923238839,565.2903606947915,0.10000216795117774,0.09898704128253906,1.0357256021371925e-05
test,5,565.2903606947915,572.6276997420614,0.09999674807323339,0.10474285807196397,0.00022008048842827162
test,6,572.6276997420614,580.2512302420863,0.10000216795117774,0.09788140415914671,4.545916797067731e-05
test,7,580.2512302420863,589.0991255001658,0.09999674807323339,0.10007641903646977,6.345141440220029e-08
test,8,589.0991255001658,600.8696388322041,0.10000216795117774,0.09983252849454498,2.8801356992703137e-07
test,9,600.8696388322041,inf,0.10000216795117774,0.10093816561793734,8.71998123139329e-06
application_test_unlabeled,0,-inf,529.1830168249614,0.10000216795117774,0.09092401116034794,0.0008639477539691107
application_test_unlabeled,1,529.1830168249614,541.3296386801961,0.09999674807323339,0.10288445757426555,8.220997440138362e-05
application_test_unlabeled,2,541.3296386801961,550.2000065661824,0.10000216795117774,0.10126374528147054,1.5815874430473936e-05
application_test_unlabeled,3,550.2000065661824,558.063923238839,0.09999674807323339,0.10411537830297062,0.00016623625535990707
application_test_unlabeled,4,558.063923238839,565.2903606947915,0.10000216795117774,0.10157147546364681,2.4435494487790344e-05
application_test_unlabeled,5,565.2903606947915,572.6276997420614,0.09999674807323339,0.10349991793861808,0.00012062518623632826
application_test_unlabeled,6,572.6276997420614,580.2512302420863,0.10000216795117774,0.10148941408173313,2.1955668830812818e-05
application_test_unlabeled,7,580.2512302420863,589.0991255001658,0.09999674807323339,0.10159199080912523,2.524796297590052e-05
application_test_unlabeled,8,589.0991255001658,600.8696388322041,0.10000216795117774,0.09527326440177253,0.00022908055045383678
application_test_unlabeled,9,600.8696388322041,inf,0.10000216795117774,0.09738634498604956,6.933463640843014e-05
